# Program Name, Artist, Start Time, EndTime
Blues Festival, Jim Mesi Band, 2017-06-30T12:00:00-0700, 2017-06-30T13:00:00-0700
Blues Festival, Bill D and the Hoodoos, 2017-06-30T13:00:00-0700, 2017-06-30T14::00:00-0700
Blues Festival, Karen Lovely, 2017-06-30T14:00:00-0700, 2017-06-30T15:00:00-0700
Blues Festival, Dirty Bourbon River Show, 2017-06-30T15:00:00-0700, 2017-06-30T16:00:00-0700
Blues Festival, JJ Thames and the Violent Revolt, 2017-06-30T16:00:00-0700, 2017-06-30T17:00:00-0700
Blues Festival, Ty Curtis Band, 2017-06-30T17:00:00-0700, 2017-06-30T18:00:00-0700
Blues Festival, Lovebomb Go-Go, 2017-06-30T18:00:00-0700, 2017-06-30T18:45-0700
Blues Festival, Elvin Bishop, 2017-06-30T18:45-0700, 2017-06-30T20:00:00-0700
Blues Festival, Fantastic Negrito, 2017-06-30T20:00:00-0700, 2017-06-30T21:00:00-0700
Blues Festival, Chris Isaak, 2017-06-30T21:00:00-0700, 2017-06-30T22:15:00-0700
Blues Festival, Lady Kat, 2017-07-01T12:00:00-0700, 2017-07-01T13:00:00-0700
Blues Festival, Big Monti, 2017-07-01T13:00:00-0700, 2017-07-01T14::00:00-0700
Blues Festival, Sharon Puorto Band, 2017-07-01T14:00:00-0700, 2017-07-01T15:00:00-0700
Blues Festival, Christone Kingfish Ingram, 2017-07-01T15:00:00-0700, 2017-07-01T16:00:00-0700
Blues Festival, Greyhounds, 2017-07-01T16:00:00-0700, 2017-07-01T17:00:00-0700
Blues Festival, Eric Gale, 2017-07-01T17:00:00-0700, 2017-07-01T18:00:00-0700
Blues Festival, Dirty Revival, 2017-07-01T18:00:00-0700, 2017-07-01T19:00-0700
Blues Festival, JD McPherson, 2017-07-01T18:45-0700, 2017-07-01T20:00:00-0700
Blues Festival, Southern Avenue, 2017-07-01T20:00:00-0700, 2017-07-01T21:00:00-0700
Blues Festival, Big Head Blues Club, 2017-07-01T21:00:00-0700, 2017-07-01T22:15:00-0700
Blues Festival, Cee Cee James, 2017-07-02T12:00:00-0700, 2017-07-02T13:00:00-0700
Blues Festival, Rose City Kings, 2017-07-02T13:00:00-0700, 2017-07-02T14::00:00-0700
Blues Festival, The Sons of Sould Revivers, 2017-07-02T14:00:00-0700, 2017-07-02T15:00:00-0700
Blues Festival, Dexter Allen, 2017-07-02T15:00:00-0700, 2017-07-02T16:00:00-0700
Blues Festival, King Louie's Blues Revue, 2017-07-02T16:00:00-0700, 2017-07-02T17:00:00-0700
Blues Festival, Pimps of Joytime, 2017-07-02T17:00:00-0700, 2017-07-02T18:00:00-0700
Blues Festival, Vieux Farka Touré, 2017-07-02T18:00:00-0700, 2017-07-02T19:00-0700
Blues Festival, Blynd, 2017-07-02T18:45-0700, 2017-07-02T20:00:00-0700
Blues Festival, Sonny Landreth, 2017-07-02T20:00:00-0700, 2017-07-02T21:00:00-0700
Blues Festival, Galactic, 2017-07-02T21:00:00-0700, 2017-07-02T22:15:00-0700






